date,사드,홍상수 김민희,date,탄핵,김광석
2021.2.14,2,1,2021.2.14,1,2
2021.2.21,0,0,2021.2.21,0,1
2021.2.28,1,0,2021.2.28,0,2
2021.3.7,0,1,2021.3.7,0,1
2021.3.14,3,0,2021.3.14,0,0
2021.3.21,2,0,2021.3.21,0,1
2021.3.28,1,1,2021.3.28,0,1
2021.4.4,2,0,2021.4.4,0,1
2021.4.11,2,0,2021.4.11,0,2
2021.4.18,2,0,2021.4.18,1,1
2021.4.25,4,0,2021.4.25,1,1
2021.5.2,2,1,2021.5.2,1,1
2021.5.9,1,0,2021.5.9,1,1
2021.5.16,1,0,2021.5.16,0,1
2021.5.23,2,1,2021.5.23,1,2
